request_id,commenter_id,commenter_name,commenter_avatar,comment_content,comment_time
1,1,Link,h1.png,It was a fantastic place with a lot of character and the area is just beautiful.,2020-04-07 19:52:57
1,2,Lin,h2.png,Colleen knows a lot about Sydney and is willing to help. Room has space.,2020-04-07 18:52:57
1,3,Tom,h3.png,Colleen has always been very kind and polite to me. She is an extremely friendly and helpful person.,2020-04-07 20:52:57
2,1,Link,h1.png,The location is perfect for a first time in Sydney. as it’s so close to buses and trains that easily connect you to any suburb you might want to visit!,2020-04-07 10:52:57
2,2,Lin,h2.png,I had an amazing stay with Colleen and cannot recommend her apartment more!",2020-04-07 11:52:57
2,3,Tom,h3.png,Colleen is a lovely and helpful host. And her apartment is in a great spot.,2020-04-05 16:52:57
3,1,Link,h1.png,Everything is completely uncomplicated and the location speaks for itself ...,2020-04-07 19:52:57
3,2,Lin,h2.png,A wonderful and easy stay in Colleen’s home. Very comfortable and convenient and felt very welcomed in her home.Colleen made me feel very comfortable from the first second. She has very good Tipps. Busstop just in front of the house. Very easy to reach everything.,2020-04-06 15:52:57
3,3,Tom,h3.png,Great hosts in a great location. Very knowledgeable about the area and amenable. We would stay again.,2020-04-06 19:40:57
4,1,Link,h1.png,Great location. Bathroom was one floor down but no big deal. Hosts were very helpful and welcoming!,2020-04-07 20:52:57
4,2,Lin,h2.png,Shower room was very clean and Morag provided nice shampoo and conditioner and body wash and soap and towels and toilet paper etc.  Water pressure was very good with hot water readily available. An in depth personalised guide was provided upon arrival.,2020-04-06 20:52:57
4,3,Tom,h3.png,Morag has thought of everything. It is clean and comfortable and in a fantastic location.,2020-04-06 21:52:57
5,1,Link,h1.png,Without a doubt and it is the best apartment in Sydney.,2020-04-07 20:52:57
5,2,Lin,h2.png,Susan is a great host and we’d recommend staying in her apartment.,2020-04-06 20:52:57
5,3,Tom,h3.png,Location is amazing. A comfortably close walk to Bondi Beach. It is exactly where we wanted to be. The location was very quiet.,2020-04-06 18:52:57
